full_name,gender,type,state,district,senate_class,party,address,phone,contact_form
Sherrod Brown,M,sen,OH,,1,Democrat,503 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/
Maria Cantwell,F,sen,WA,,1,Democrat,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria
Benjamin L. Cardin,M,sen,MD,,1,Democrat,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/
Thomas R. Carper,M,sen,DE,,1,Democrat,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper
"Robert P. Casey, Jr.",M,sen,PA,,1,Democrat,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact/
Dianne Feinstein,F,sen,CA,,1,Democrat,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me
Amy Klobuchar,F,sen,MN,,1,Democrat,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact
Robert Menendez,M,sen,NJ,,1,Democrat,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact
Bernard Sanders,M,sen,VT,,1,Independent,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/
Debbie Stabenow,F,sen,MI,,1,Democrat,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact
Jon Tester,M,sen,MT,,1,Democrat,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator
Sheldon Whitehouse,M,sen,RI,,1,Democrat,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon
John Barrasso,M,sen,WY,,1,Republican,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form
Roger F. Wicker,M,sen,MS,,1,Republican,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact
Lamar Alexander,M,sen,TN,,2,Republican,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email
Susan M. Collins,F,sen,ME,,2,Republican,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/contact
John Cornyn,M,sen,TX,,2,Republican,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact
Richard J. Durbin,M,sen,IL,,2,Democrat,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/
Michael B. Enzi,M,sen,WY,,2,Republican,379A Russell Senate Office Building Washington DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi
Lindsey Graham,M,sen,SC,,2,Republican,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham
James M. Inhofe,M,sen,OK,,2,Republican,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact
Mitch McConnell,M,sen,KY,,2,Republican,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact
Jeff Merkley,M,sen,OR,,2,Democrat,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/
Jack Reed,M,sen,RI,,2,Democrat,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/
James E. Risch,M,sen,ID,,2,Republican,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email
Pat Roberts,M,sen,KS,,2,Republican,109 Hart Senate Office Building Washington DC 20510,202-224-4774,https://www.roberts.senate.gov/public/?p=EmailPat
Jeanne Shaheen,F,sen,NH,,2,Democrat,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne
Tom Udall,M,sen,NM,,2,Democrat,531 Hart Senate Office Building Washington DC 20510,202-224-6621,https://www.tomudall.senate.gov/?p=contact
Mark R. Warner,M,sen,VA,,2,Democrat,703 Hart Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public/index.cfm?p=Contact
Kirsten E. Gillibrand,F,sen,NY,,1,Democrat,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me
Christopher A. Coons,M,sen,DE,,2,Democrat,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact
"Joe Manchin, III",M,sen,WV,,1,Democrat,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form
Robert B. Aderholt,M,rep,AL,4,,Republican,1203 Longworth House Office Building Washington DC 20515-0104,202-225-4876,
Justin Amash,M,rep,MI,3,,Libertarian,106 Cannon House Office Building Washington DC 20515-2203,202-225-3831,
Tammy Baldwin,F,sen,WI,,1,Democrat,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback
Karen Bass,F,rep,CA,37,,Democrat,2059 Rayburn House Office Building Washington DC 20515-0537,202-225-7084,
Michael F. Bennet,M,sen,CO,,3,Democrat,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact
Gus M. Bilirakis,M,rep,FL,12,,Republican,2227 Rayburn House Office Building Washington DC 20515-0912,202-225-5755,
Rob Bishop,M,rep,UT,1,,Republican,123 Cannon House Office Building Washington DC 20515-4401,202-225-0453,
"Sanford D. Bishop, Jr.",M,rep,GA,2,,Democrat,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631,
Marsha Blackburn,F,sen,TN,,1,Republican,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me
Earl Blumenauer,M,rep,OR,3,,Democrat,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811,
Richard Blumenthal,M,sen,CT,,3,Democrat,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/
Roy Blunt,M,sen,MO,,3,Republican,260 Russell Senate Office Building Washington DC 20510,202-224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy
John Boozman,M,sen,AR,,3,Republican,141 Hart Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact
Kevin Brady,M,rep,TX,8,,Republican,1011 Longworth House Office Building Washington DC 20515-4308,202-225-4901,
Mo Brooks,M,rep,AL,5,,Republican,2246 Rayburn House Office Building Washington DC 20515-0105,202-225-4801,
Vern Buchanan,M,rep,FL,16,,Republican,2427 Rayburn House Office Building Washington DC 20515-0916,202-225-5015,
Larry Bucshon,M,rep,IN,8,,Republican,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636,
Michael C. Burgess,M,rep,TX,26,,Republican,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772,
Richard Burr,M,sen,NC,,3,Republican,217 Russell Senate Office Building Washington DC 20510,202-224-3154,https://www.burr.senate.gov/contact/email
G. K. Butterfield,M,rep,NC,1,,Democrat,2080 Rayburn House Office Building Washington DC 20515-3301,202-225-3101,
Ken Calvert,M,rep,CA,42,,Republican,2205 Rayburn House Office Building Washington DC 20515-0542,202-225-1986,
Shelley Moore Capito,F,sen,WV,,2,Republican,172 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley
Andr̩ Carson,M,rep,IN,7,,Democrat,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011,
John R. Carter,M,rep,TX,31,,Republican,2110 Rayburn House Office Building Washington DC 20515-4331,202-225-3864,
Bill Cassidy,M,sen,LA,,2,Republican,520 Hart Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact
Kathy Castor,F,rep,FL,14,,Democrat,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376,
Steve Chabot,M,rep,OH,1,,Republican,2408 Rayburn House Office Building Washington DC 20515-3501,202-225-2216,
